CN,RU
的,"[de] <притяжательная частица, ставится; между определением и определяемым словом>; 我的 wǒde мой; 高的 gāode высокий; 他是说汉语的. Tā shì shuō Hànyǔde.; Он - тот, кто говорит по-китайски.
[dì] 目的 mùdì цель
[dí] 的确 díquè действительно"
一,"[yī] один; 第一 dìyī первый
[yí] (перед иероглифов с 4-м тоном); 一个人 yí ge rén один человек; 一定 yídìng обязательно; 一样 yíyàng одинаковый, тот же
[yì] (перед иероглифами с 2-м и 3-м тонами); 一点儿 yìdiǎnr немного; 一些 yìxiē некоторое количество"
是,[shì] быть 是不是? shì bu shì? верно? (да или нет?); 是否 shìfǒu не... ли (да или нет)?
不,"[bù] не, нет
[bú] (перед иероглифом с 4-м тоном); 不是 bú shì нет"
了,"[le] <глагольная частица; указыает на завершенность действия; или появление новой ситуации>; 你来了! Nǐ láile! Ты пришел!; 我累了! Wǒ lèile! Я устал!; 那好了! Nà hǎole! Ну хорошо (тогда)!; [liǎo] заканчивать, завершать; 了解 liǎojiě понимать; 了了 liǎoliaǒ уяснять, ясный; 了了 liǎole завершить; 你卖不了! Nǐ mài bùliǎo! Тебе не продать (это)!"
人,[rén] человек; 人类 rénlèi человечество; 有人吗? yǒu rén ma? Есть кто-нибудь?
我,[wǒ] я; 我们 wǒmen мы
在,[zài] находиться; 现在 xiànzài сейчас; 存在 cúnzài существовать
有,"[yǒu] иметь, обладать, есть; 没有 méiyǒu нет; 有没有? Yǒuméiyǒu? Есть ли?; 有的 yǒude некоторые"
他,[tā] он; 其他 qítā другие
这,"[zhè] это(-т); 这儿 zhèr здесь
[zhèi] этот (перед счетным словом)"
中,"[zhōng] середина, средний, среди; 中国 Zhōngguó Китай
[zhòng] попасть, ударить (цель)"
大,"[dà] большой; 多大? duōdà? насколько большой?; 大小 dàxiǎo размер; 大家 dàjiā все
[dài] 大夫 dàifu доктор"
来,"[lái] приходить; 原来 yuánlái изначально, на самом деле; 来年 láinián будущий год
[lai] (в составе направительных глаголов); 起来 qǐlai подниматься, вставать"
上,"[shàng] над, на, предыдущий, двигаться вверх
[shǎng] 上声 shǎngshēng 3-й тон
[shang] (в качестве глагольного модификатора)"
国,"[guó] 国家 guójiā страна, государство; 中国 Zhōngguó Китай; 美国 Měiguó США"
个,[gè] <универсальное счетное слово>; 个人 gèrén личный; 个人主页 gèrénzhùyè личная веб-страничка
到,"[dào] (двигаться) к, до, достигать"
说,"[shuō] говорить, пояснять, ругать; 说话 shuōhuà говорить
[shuì] 游说 yóushuì убеждать, внушать"
们,"[men] <суффикс множественного числа; для местоимений и существительных,; указывающих на людей>; 我们 wǒmen мы; 人们 rénmen люди"
为,"[wèi] для, за и пр.
[wéi] делать, поступать; 认为 rènwéi думать, считать.; 以为 yǐwéi думать, полагать(ошибочно)"
子,"[zǐ] ребенок, сын; 子女 zǐnǚ сыновья и дочери; 儿子 érzi сын
[zi] (суффикс для многих существительных); 桌子 zhuōzi стол"
和,"[hé] с, вместе с, гармония; 和平 hépíng мир
[huo] 暖和 nuǎnhuo теплый
[hè] подпевать
[huó] замешивать, месить
[huò] мешать, перемешивать"
你,[nǐ] (альтернативный женский вариант: 妳 nǐ) ты; 你们 nǐmen вы (мн.)
地,"[dì] земля, почва, место; 地球 dìqiú земной шар
[de] <грам. частица указывает на обстоятельство:; описание+ 地 + глагол>; 慢慢地 mànmànde zǒu медленно идти"
出,"[chū] выходить, двигаться наружу; 出现 chūxiàn появляться; <счетное слово для пьес и оперных выступлений>"
道,"[dào] путь, канал, сказать, доктрина,; <счетное слово для ворот, стен, блюд, действий>,; 道教 Dàojiào даосизм; 知道 zhīdao знать"
也,"[yě] тоже, также; 也许 yěxǔ возможно"
时,"[shí] период времени,; 时间 shíjiān время (как отрезок),; 时候 shíhou время (момент),; 小时 xiǎoshí час"
年,[nián] год; 今年 jīnnián текущий год; 明年 míngnián следующий год; 去年 qùnián прошлый год; 中年 zhōngnián средних лет
得,"[de] <глагольная частица для описания действия:; глагол+ 得 + описание>; 走得快 zǒude kuài ходить быстро
[dé] получать, достигать
[děi] должен, следует"
就,"[jiù] то, сразу же, именно; 就要 jiùyào вот-вот или скоро (что-то произойдет); 这就是我! Zhè jiùshì wǒ! Это и есть я!; 他就要去. Tā jiùyào qù. Он уже уходит."
那,"[nà] то(-т)
[nèi] тот (перед счетным словом)"
要,"[yào] хотеть, следует, нужно, важный; (также указывает на будущее время); 主要 zhǔyào главный
[yāo] 要求 yāoqiú требование, требовать"
下,"[xià] снизу, под, двигаться вниз, следующий; 下星期 xià xīngqī следующая неделя"
以,"[yǐ] из-за, по причине, посредством; 可以 kěyǐ OK, можно (сделать что-то); 所以 suǒyǐ поэтому; 以外 yǐwài кроме"F
生,"[shēng] рожать, жизнь; 先生 xiānsheng господин, мистер"
会,"[huì] мочь, уметь, собрание, общество
[kuài] 会计 kuàijì бухгалтерия, бухгалтер
[huǐ] 一会儿 yíhuìr немного (про время)"
自,"[zì] с, начиная с; 自己 zìjǐ сам; 自然 zìrán природа"
着,"[zhe] <глагольная частица, указывает на; продолжительность действия или состояние>
[zháo] <результативная морфема для глагола>
[zhuó] надевать, носить"
去,"[qù] уходить, идти (противоположность 来 lái)"
之,"[zhī] <то же что и 的 de>,; это(-т) (в старых текстах, веньянь)"
过,"[guò] проходить, пересекать, превышать,; <глагольная частица указывает на прошедший опыт,; то, что действие происходило хотя бы раз в прошлом>; 过马路 guò mǎlù переходить дорогу; 我去过中国两次. wǒ qùguo Zhōngguó liǎng cì.; Я ездил в Китай пару раз."
家,"[jiā] дом, семья; 国家 guójiā страна; 大家 dàjiā все; 家里 jiālǐ дома также и счетное слово; для магазинов, ресторанов и т.п.; 两家饭店 два ресторана"
学,"[xué] учиться, изучать; 学校 xuéxiào учебное заведение, школа; 学生 xuésheng студент, учащийся"
对,"[duì] правильный, (по отношению) к,; пара (как счетное слово); 对不起 duìbuqǐ прошу прощения"
可,"[kě] ~able, (=可以 kěyǐ) можно, возможно; (=可是 kěshì) но, однако; 可爱 kě'ài мило, прелестно; 可能 kě'néng возможно, может быть, скорее всего; 可口可乐 kěkǒukělè Coca Cola
[kè] 可汗 kèhán хан, каган"
她,[tā] она
里,"[lǐ] внутренний, 0,5 км, в, внутри, подкладка; 哪里? nǎli? где?; 那里 nàli там; 这里 zhèli здесь"
后,"[hòu] королева, после, сзади; 后天 hòutiān послезавтра"
小,[xiǎo] маленький; 大小 dàxiǎo размер
么,"[me/mo] (суффикс наречий; и местоимений разговорного языка); 什么? shénme? что?; 为什么? wèishénme? почему?; 没什么! méi shénme! Ничего!, Забудь!; 怎么? zěnme? как? каким образом; 么么哒 (звукоподражение) memedá чмок-чмок"
心,"[xīn] сердце; 小心 xiǎoxīn осторожней, с осторожностью; 心理 xīnlǐ психология, психика; 中心 zhōngxīn центр"
多,"[duō] много, во множестве, больше, быть больше на...; 多大 duōdà насколько большой? сколько лет?; 多少 duōshǎo сколько? сколько стоит?"
天,"[tiān] небо, небеса, бог, день, (=天空 tiānkōng) небеса; 天气 tiānqì погода"
而,"[ér] и, еще и..., да (в составе); 而且 érqiě к тому же, более того,; 然而 rán'ér всё-таки, всё же"
能,"[néng] мочь, быть способным; 能够 nénggòu быть в состоянии; 可能 kě'néng возможно, может быть, скорее всего"
好,"[hǎo] хорошо, хороший в...; 你好! Nǐhǎo! Привет!
[hào] любить, увлекаться
[hāo] 好好儿 hǎohāor как следует, в порядке"
都,"[dōu] все
[dū] город, 首都 shǒudū столица"
然,"[rán] книж. правильный; 虽然 suīrán хотя; 忽然 hūrán вдруг, внезапно; 当然 dāngrán конечно, разумеется; 自然 zìrán природа, естественно"
没,"[méi] (=没有 méiyǒu) нету, не имееть; 有没有? yǒuméiyǒu? Есть или нет?; [mò] тонуть, уходить под поду,; исчезать, конфисковывать"
日,"[rì] солнце, (=日子 rìzi) день; 日记 rìjì ежедневник; 日光 rìguāng дневной свет
{не путать с 曰 yuē устар. говорить}"
于,"[yú] распространенный предлог; 于是 yúshì и тогда, после этого, в результате чего; 问题在于 wèntízàiyú вопрос состоит в .../том, что...
{не путать с 干 gān ствол, делать}"
起,"[qǐ] встать на ноги, начинать; 起来 qǐlai подниматься; 对不起 duìbuqǐ простите, извините; 从今天起 cóngjīntiānqǐ с сегодняшнего дня"
还,"[hái] всё ещё, ещё,; 还没有 háiméiyǒu всё ещё не.../ всё ещё нет; [huán] возращать, отдавать обратно, возмещать"
发,"[fā] выпускать, отдавать,; стрелять, раскрываться, издавать,; [fà] волосы на голове; в сочетании 头发 tóufa волосы на голове"
成,"[chéng] (=成为 chéngwéi, =变成 biànchéng); становиться, превращаться в...; 成功 chénggōng успех; 完成 wánchéng закончить, завершить; 成语 chéngyǔ чэнъюй, идиома"
事,"[shì] дело, событие, случай,; происшествие, занятие, инцидент; 事情 shìqing ситуация, дело"
只,"[zhǐ] только, всего лишь, единственно, 
[zhī] (счётное слово для обычно парных вещей,; некрупных животных, птиц, лодок,; предметов домашней утвари); 一只猫 yì zhī māo один кот"
作,"[zuò] делать, заниматься; 工作 gōngzuò работа/работать; 作业 zuòyè домашнее задание"
当,"[dāng] являться, служить в качестве чего-то; <звукоподражание звону>; [dàng] надлежащим образом, правильно,; соответствовать, в качестве, закладывать в ломбард,; 当作没这回事吧 dàngzuò méi zhè huíshì; ba считай будто этого не было"
想,"[xiǎng] думать, чувствовать,; желать, предполагать, вспоминать"
看,"[kàn] смотреть, глядеть, читать,; обращаться к..., полагать; 看法 kànfǎ точка зрения
[kān] стеречь, присматривать, ухаживать; 看守 kānshǒu караулить"
文,"[wén] письмо, текст, литература; 文化 wénhuà культура; 中文 zhōngwén китайский язык"
无,"[wú] без, ничто, отсутствие, нет (чего-то); 无法 wúfǎ невозможно (что-то сделать)"
开,"[kāi] открыть, включить; 开始 kāishǐ начать; 打开 dǎkāi открыть, раскрыть, развернуть"
手,"[shǒu] рука, кисть руки,; ручной, мастер, специалист; 手艺 shǒuyì умение, ремесло,; 高手 gāoshǒu мастер, знаток,; 挥手 huīshǒu махать рукой,; 拍手 pāishǒu хлопать в ладоши"
十,"[shí] десять; 十三 shísān тринадцать, 五十 wǔshí пятьдесят; 十月 shíyuè октябрь"
用,"[yòng] применять, употреблять, использовать; 好用 hǎoyòng удобный,; 不用谢 bú yòng xiè не стоит благодарности,; 使用 shǐyòng пользоваться, употреблять"
主,"[zhǔ] глава, хозяин, владелец, господин; 主要 zhǔyào основной, главный, ключевой; 主义 zhǔyì доктрина, ~изм; 主页 zhùyè домашняя страница"
行,"[xíng] идти, двигаться; 行不行 xíngbuxíng идёт? годится или нет?; 行动 xíngdòng акт, действие, действовать; [háng] ряд, строй, дело, занятие; 银行 yínháng банк,; 行业 hángyè отрасль, специальность; 同行 tóngháng коллега
[hàng] устар. твердый, непреклонный"
方,"[fāng] сторона, квадрат, квадратный; 地方 dìfang место; 方面 fāngmiàn аспект,сторона"
又,"[yòu] снова, вновь, ещё и..., и...и..., ни...ни..."
如,"[rú] походить на..., быть таким же,; как..., например, к примеру; 如果 rúguǒ если,; 如此 rúcǐ подобный этому, таким образом"
前,"[qián] впереди, передняя сторона; прошлое, предыдущий, предшествующий; 以前 yǐqián раньше, 前天 qiántiān позавчера"
所,"[suǒ] место, положение, учреждение; 所以 suǒyǐ поэтому, таким образом,; 所有 suǒyǒu всё имеющееся, все,; 厕所 cèsuǒ туалет"
本,"[běn] корень, начало, основа, естество, наш
<счетное слово для книг, журналов, тетрадей и т.д.>; 本人 běnrén я (лично), сам; 日本 Rìběn Япония, 本子 běnzi тетрадь"
见,"[jiàn] встречаться с, видеть; (=看见 kànjian) видеть, увидеть; 意见 yìjian идея, мнение, точка зрения; 听见 tīngjiàn слышать, услышать
[xiàn] показываться, появляться"
经,"[jīng] меридиан (как в географии,; так и в традиционной китайской медицине); канонический текст, закономерность,; иметь дело с, (=经纪 jīngjì) управлять (бизнесом); 已经 yǐjing уже; 经过 jīngguò проходить, проходить через; 经验 jīngyàn опыт; 经由 jīngyóu посредством, через; 经常 jīngcháng часто, регулярно; 易经 Yìjīng Книга перемен"
头,"[tóu] голова, верхушка, первый; <счетн. слово для домашнего скота, чеснока и пр.>; 头发 tóufa волосы; [tou] 石头 shítou камень; <здесь как суффикс существительного>"
面,"[miàn] лицо, поверхность,; <счетн. слово для зеркал, флагов и пр.>,; мука, мучное,; (=面条 miàntiáo) лапша; 面包 miànbāo хлеб"
公,"[gōng] общественный, официальный; 公里 gōnglǐ километр; 办公室 bàngōngshì офис; 公司 gōngsī компания; 公共 gōnggòng общественнй, публичный; 公共汽车 gōnggòngqìchē автобус"
同,"[tóng] такой же, одинаковый; 同志 tóngzhì товарищ; <а также предлог>
[tòng] 胡同 hútòng хутун"
三,[sān] три; 第三世界 dìsān shìjiè третий мир; 三月 sānyuè март
已,"[yǐ] стоп, конец, (=已经 yǐjīng) уже; (не путать с 己 jǐ сам, который; полностью ""открыт"" слева)"
老,"[lǎo] старый, устаревший; 老师 lǎoshī учитель; 老虎 lǎohǔ тигр; 老张 lǎo Zhāng старый Чжан = дорогой (друг) Чжан"
从,"[cóng] <предлог> из, через, следовать, вторичный"
动,"[dòng] двигаться, меняться; 动物 dòngwù животное; 活动 huódòng мероприятие, активность; 运动 yùndòng спорт"
两,"[liǎng] два (перед счетным словом), лян = 50 грамм"
长,"[cháng] длинный, продолжительный, длина
[zhǎng] вырастать, главный, глава, старший"